          ;       17345;   ;Filtro    ;Inicio                                  ;17092013      ;092713;200.54.88.50   ;OK ;                    ;Inicio de filtrado                                                      
          ;       17345;   ;Filtro    ;tbk_param.txt                           ;17092013      ;092713;200.54.88.50   ;OK ;                    ;Archivo parseado                                                        
          ;       17345;   ;Filtro    ;Terminado                               ;17092013      ;092713;200.54.88.50   ;OK ;                    ;Datos Filtrados con exito                                               
          ;       17345;   ;sanitiza  ;inicio                                  ;17092013      ;092713;200.54.88.50   ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       17345;   ;sanitiza  ;Array                                   ;17092013      ;092713;200.54.88.50   ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       17345;   ;sanitiza  ;Fin                                     ;17092013      ;092713;200.54.88.50   ;Ok ;                    ;Sanitizacion exitosa                                                    
9420833486;       17345;   ;pago      ;inicio                                  ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;Parseo realizado                                                        
9420833486;       17345;   ;pago      ;https://certificacion.webpay.cl         ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9420833486;       17345;   ;pago      ;https://certificacion.webpay.cl         ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;Mac generado                                                            
9420833486;       17345;   ;pago      ;https://certificacion.webpay.cl         ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9420833486;       17345;   ;pago      ;https://certificacion.webpay.cl         ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9420833486;       17345;   ;pago      ;https://certificacion.webpay.cl         ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;Datos listos para ser enviados                                          
9420833486;       17345;   ;pago      ;https://certificacion.webpay.cl         ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;Medio 2: Por redireccion                                                
9420833486;       17345;   ;pago      ;https://certificacion.webpay.cl         ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;Redireccion web                                                         
9420833486;       17345;   ;pago      ;https://certificacion.webpay.cl         ;17092013      ;092713;200.54.88.50   ;OK ;597026007976        ;Todo OK                                                                 
          ;       17431;   ;resultado ;Desencriptando                          ;17092013      ;092758;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       17431;   ;resultado ;Validacion                              ;17092013      ;092758;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       17431;   ;resultado ;20130917122712                          ;17092013      ;092758;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       17431;   ;resultado ;20130917122712                          ;17092013      ;092758;200.10.12.55   ;OK ;                    ;http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt_compra.php  
9420833486;       17431;   ;transacc  ;9420833486                              ;17092013      ;092758;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
9420833486;       17431;   ;resultado ;logro abrir_conexion                    ;17092013      ;092758;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
9420833486;       17431;   ;transacc  ;9420833486                              ;17092013      ;092758;200.10.12.55   ;OK ;597026007976        ;POST a url http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt  
9420833486;       17431;   ;transacc  ;9420833486                              ;17092013      ;092758;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       17434;   ;check_mac ;                                        ;17092013      ;092759;10.100.7.2     ;OK ;                    ;Todo OK                                                                 
9420833486;       17431;   ;transacc  ;9420833486                              ;17092013      ;092759;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
9420833486;       17431;   ;resultado ;20130917122712                          ;17092013      ;092759;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
9420833486;       17431;   ;resultado ;20130917122712                          ;17092013      ;092759;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
9420833486;       17431;   ;resultado ;20130917122712                          ;17092013      ;092759;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;         927;   ;Filtro    ;Inicio                                  ;17092013      ;122638;200.6.100.5    ;OK ;                    ;Inicio de filtrado                                                      
          ;         927;   ;Filtro    ;tbk_param.txt                           ;17092013      ;122638;200.6.100.5    ;OK ;                    ;Archivo parseado                                                        
          ;         927;   ;Filtro    ;Terminado                               ;17092013      ;122638;200.6.100.5    ;OK ;                    ;Datos Filtrados con exito                                               
