          ;       20366;   ;Filtro    ;Inicio                                  ;16092013      ;122310;200.6.100.5    ;OK ;                    ;Inicio de filtrado                                                      
          ;       20366;   ;Filtro    ;tbk_param.txt                           ;16092013      ;122310;200.6.100.5    ;OK ;                    ;Archivo parseado                                                        
          ;       20366;   ;Filtro    ;Terminado                               ;16092013      ;122310;200.6.100.5    ;OK ;                    ;Datos Filtrados con exito                                               
          ;       20366;   ;sanitiza  ;inicio                                  ;16092013      ;122310;200.6.100.5    ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       20366;   ;sanitiza  ;Array                                   ;16092013      ;122310;200.6.100.5    ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       20366;   ;sanitiza  ;Fin                                     ;16092013      ;122310;200.6.100.5    ;Ok ;                    ;Sanitizacion exitosa                                                    
9344990031;       20366;   ;pago      ;inicio                                  ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;Parseo realizado                                                        
9344990031;       20366;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9344990031;       20366;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;Mac generado                                                            
9344990031;       20366;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9344990031;       20366;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9344990031;       20366;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;Datos listos para ser enviados                                          
9344990031;       20366;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;Medio 2: Por redireccion                                                
9344990031;       20366;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;Redireccion web                                                         
9344990031;       20366;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122310;200.6.100.5    ;OK ;597026007976        ;Todo OK                                                                 
          ;       21443;   ;Filtro    ;Inicio                                  ;16092013      ;122630;200.6.100.5    ;OK ;                    ;Inicio de filtrado                                                      
          ;       21443;   ;Filtro    ;tbk_param.txt                           ;16092013      ;122630;200.6.100.5    ;OK ;                    ;Archivo parseado                                                        
          ;       21443;   ;Filtro    ;Terminado                               ;16092013      ;122630;200.6.100.5    ;OK ;                    ;Datos Filtrados con exito                                               
          ;       21443;   ;sanitiza  ;inicio                                  ;16092013      ;122630;200.6.100.5    ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       21443;   ;sanitiza  ;Array                                   ;16092013      ;122630;200.6.100.5    ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       21443;   ;sanitiza  ;Fin                                     ;16092013      ;122630;200.6.100.5    ;Ok ;                    ;Sanitizacion exitosa                                                    
9345190215;       21443;   ;pago      ;inicio                                  ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;Parseo realizado                                                        
9345190215;       21443;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9345190215;       21443;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;Mac generado                                                            
9345190215;       21443;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9345190215;       21443;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9345190215;       21443;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;Datos listos para ser enviados                                          
9345190215;       21443;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;Medio 2: Por redireccion                                                
9345190215;       21443;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;Redireccion web                                                         
9345190215;       21443;   ;pago      ;https://certificacion.webpay.cl         ;16092013      ;122630;200.6.100.5    ;OK ;597026007976        ;Todo OK                                                                 
          ;       21511;   ;resultado ;Desencriptando                          ;16092013      ;122659;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       21511;   ;resultado ;Validacion                              ;16092013      ;122659;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       21511;   ;resultado ;20130916032630                          ;16092013      ;122659;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       21511;   ;resultado ;20130916032630                          ;16092013      ;122659;200.10.12.55   ;OK ;                    ;http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt_compra.php  
9345190215;       21511;   ;transacc  ;9345190215                              ;16092013      ;122659;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
9345190215;       21511;   ;resultado ;logro abrir_conexion                    ;16092013      ;122659;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
9345190215;       21511;   ;transacc  ;9345190215                              ;16092013      ;122659;200.10.12.55   ;OK ;597026007976        ;POST a url http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt  
