          ;       27816;   ;Filtro    ;Inicio                                  ;12092013      ;044356;200.54.88.50   ;OK ;                    ;Inicio de filtrado                                                      
          ;       27816;   ;Filtro    ;tbk_param.txt                           ;12092013      ;044356;200.54.88.50   ;OK ;                    ;Archivo parseado                                                        
          ;       27816;   ;Filtro    ;Terminado                               ;12092013      ;044356;200.54.88.50   ;OK ;                    ;Datos Filtrados con exito                                               
          ;       27816;   ;sanitiza  ;inicio                                  ;12092013      ;044356;200.54.88.50   ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       27816;   ;sanitiza  ;Array                                   ;12092013      ;044356;200.54.88.50   ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       27816;   ;sanitiza  ;Fin                                     ;12092013      ;044356;200.54.88.50   ;Ok ;                    ;Sanitizacion exitosa                                                    
8971836651;       27816;   ;pago      ;inicio                                  ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;Parseo realizado                                                        
8971836651;       27816;   ;pago      ;https://certificacion.webpay.cl         ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
8971836651;       27816;   ;pago      ;https://certificacion.webpay.cl         ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;Mac generado                                                            
8971836651;       27816;   ;pago      ;https://certificacion.webpay.cl         ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
8971836651;       27816;   ;pago      ;https://certificacion.webpay.cl         ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
8971836651;       27816;   ;pago      ;https://certificacion.webpay.cl         ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;Datos listos para ser enviados                                          
8971836651;       27816;   ;pago      ;https://certificacion.webpay.cl         ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;Medio 2: Por redireccion                                                
8971836651;       27816;   ;pago      ;https://certificacion.webpay.cl         ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;Redireccion web                                                         
8971836651;       27816;   ;pago      ;https://certificacion.webpay.cl         ;12092013      ;044356;200.54.88.50   ;OK ;597026007976        ;Todo OK                                                                 
          ;       28468;   ;resultado ;Desencriptando                          ;12092013      ;044519;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       28468;   ;resultado ;Validacion                              ;12092013      ;044519;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       28468;   ;resultado ;20130912074356                          ;12092013      ;044519;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       28468;   ;resultado ;20130912074356                          ;12092013      ;044519;200.10.12.55   ;OK ;                    ;http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt_compra.php  
8971836651;       28468;   ;transacc  ;8971836651                              ;12092013      ;044519;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
8971836651;       28468;   ;resultado ;logro abrir_conexion                    ;12092013      ;044519;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
8971836651;       28468;   ;transacc  ;8971836651                              ;12092013      ;044519;200.10.12.55   ;OK ;597026007976        ;POST a url http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt  
8971836651;       28468;   ;transacc  ;8971836651                              ;12092013      ;044519;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       28471;   ;check_mac ;                                        ;12092013      ;044520;10.100.7.2     ;OK ;                    ;Todo OK                                                                 
8971836651;       28468;   ;transacc  ;8971836651                              ;12092013      ;044520;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
8971836651;       28468;   ;resultado ;20130912074356                          ;12092013      ;044520;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
8971836651;       28468;   ;resultado ;20130912074356                          ;12092013      ;044520;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
8971836651;       28468;   ;resultado ;20130912074356                          ;12092013      ;044520;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       28605;   ;Filtro    ;Inicio                                  ;12092013      ;044943;200.54.88.50   ;OK ;                    ;Inicio de filtrado                                                      
          ;       28605;   ;Filtro    ;tbk_param.txt                           ;12092013      ;044943;200.54.88.50   ;OK ;                    ;Archivo parseado                                                        
          ;       28605;   ;Filtro    ;Terminado                               ;12092013      ;044943;200.54.88.50   ;OK ;                    ;Datos Filtrados con exito                                               
          ;       28605;   ;sanitiza  ;inicio                                  ;12092013      ;044943;200.54.88.50   ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       28605;   ;sanitiza  ;Array                                   ;12092013      ;044943;200.54.88.50   ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       28605;   ;sanitiza  ;Fin                                     ;12092013      ;044943;200.54.88.50   ;Ok ;                    ;Sanitizacion exitosa                                                    
8972183591;       28605;   ;pago      ;inicio                                  ;12092013      ;044943;200.54.88.50   ;OK ;597026007976        ;Parseo realizado                                                        
